district_number,district_name,state,census_2010_population
43,Kentucky Eastern,Kentucky,2159019
44,Kentucky Western,Kentucky,2180348
45,Michigan Eastern,Michigan,6467220
46,Michigan Western,Michigan,3416420
47,Ohio Northern,Ohio,5796825
48,Ohio Southern,Ohio,5739679
49,Tennessee Eastern,Tennessee,2523322
50,Tennessee Middle,Tennessee,2252218
51,Tennessee Western,Tennessee,1570565
52,Illinois Northern,Illinois,9283766
53,Illinois Central,Illinois,2257804
54,Illinois Southern,Illinois,1289062
55,Indiana Northern,Indiana,2562654
56,Indiana Southern,Indiana,3921148
57,Wisconsin Eastern,Wisconsin,3366992
58,Wisconsin Western,Wisconsin,2319994
60,Arkansas Eastern,Arkansas,1620661
61,Arkansas Western,Arkansas,1295257
62,Iowa Northern,Iowa,1323658
63,Iowa Southern,Iowa,1722697
64,Minnesota,Minnesota,5303925
65,Missouri Eastern,Missouri,2905422
66,Missouri Western,Missouri,3083505
67,Nebraska,Nebraska,1826341
68,North Dakota,North Dakota,672591
69,South Dakota,South Dakota,800594
